,mean,std
sma,20.483011937557393,65.51245952443837
ama1,91.57300275482093,43.4142952460068
ama2,34.09366391184573,65.99601864805379
axa2,81.53810835629018,37.693457488372616
axa3,33.23415977961432,70.77171664931898
bxfa,55.81818181818182,39.19858941039468

,mean,std
sma,20.483011937557393,27.664513524856222
ama1,91.57300275482093,71.31239815609183
ama2,34.09366391184573,30.843927062799953
axa2,81.53810835629018,72.97486893983464
axa3,33.23415977961432,39.428328607015914
bxfa,55.81818181818182,39.19858941039468
