,a,b,exact,sma,ama1,ama2,axa2,axa3
0,1,1,2,00000010,11111110,00000010,11111111,00000010
1,1,2,3,00000100,11111101,00000010,11111100,00000000
2,1,3,4,00000100,11111100,00000010,11111101,00000100
3,1,4,5,00001000,11111011,00000010,11111010,00000000
4,2,1,3,00000100,11111100,00000100,11111100,00000000
5,2,2,4,00000100,11111101,00000100,11111111,00000100
6,2,3,5,00000110,11111100,00000100,11111110,00000100
7,2,4,6,00001000,11111011,00000100,11111001,00000000
8,3,1,4,00000100,11111100,00000100,11111101,00000100
9,3,2,5,00000100,11111101,00000110,11111110,00000100
10,3,3,6,00000110,11111100,00000110,11111111,00000110
11,3,4,7,00001000,11111011,00000100,11111000,00000000
12,4,1,5,00000010,11111110,00001000,11111010,00000000
13,4,2,6,00001000,11111001,00001000,11111001,00000000
14,4,3,7,00001000,11111000,00001000,11111000,00000000
15,4,4,8,00001000,11111011,00001000,11111111,00001000
