,a,b,exact,sma,ama1,ama2,axa2,axa3,bxfa
0,1,1,2,2,254,2,255,2,1
1,1,2,3,4,253,2,252,0,1
2,1,3,4,4,252,2,253,4,1
3,1,5,6,10,250,2,251,2,1
4,1,7,8,8,248,2,249,8,1
5,1,11,12,20,244,2,245,4,1
6,1,13,14,18,242,2,243,2,1
7,1,17,18,34,238,2,239,2,1
8,1,19,20,36,236,2,237,4,1
9,1,23,24,40,232,2,233,8,1
10,1,29,30,34,226,2,227,2,1
11,1,31,32,32,224,2,225,32,1
12,1,37,38,74,218,2,219,2,1
13,1,41,42,82,214,2,215,2,1
14,1,43,44,84,212,2,213,4,1
15,1,47,48,80,208,2,209,16,1
16,1,53,54,74,202,2,203,2,1
17,1,59,60,68,196,2,197,4,1
18,1,61,62,66,194,2,195,2,1
19,1,67,68,132,188,2,189,4,1
20,1,71,72,136,184,2,185,8,1
21,1,73,74,146,182,2,183,2,1
22,1,79,80,144,176,2,177,16,1
23,1,83,84,164,172,2,173,4,1
24,1,89,90,162,166,2,167,2,1
25,1,97,98,130,158,2,159,2,1
26,1,101,102,138,154,2,155,2,1
27,1,103,104,136,152,2,153,8,1
28,1,107,108,148,148,2,149,4,1
29,1,109,110,146,146,2,147,2,1
30,1,113,114,130,142,2,143,2,1
31,1,121,122,130,134,2,135,2,1
32,1,127,128,128,128,2,129,128,1
33,2,1,3,4,252,4,252,0,2
34,2,2,4,4,253,4,255,4,2
35,2,3,5,6,252,4,254,4,2
36,2,5,7,8,248,4,248,0,2
37,2,7,9,10,248,4,250,8,2
38,2,11,13,22,244,4,246,4,2
39,2,13,15,16,240,4,240,0,2
40,2,17,19,36,236,4,236,0,2
41,2,19,21,38,236,4,238,4,2
42,2,23,25,42,232,4,234,8,2
43,2,29,31,32,224,4,224,0,2
44,2,31,33,34,224,4,226,32,2
45,2,37,39,72,216,4,216,0,2
46,2,41,43,84,212,4,212,0,2
47,2,43,45,86,212,4,214,4,2
48,2,47,49,82,208,4,210,16,2
49,2,53,55,72,200,4,200,0,2
50,2,59,61,70,196,4,198,4,2
51,2,61,63,64,192,4,192,0,2
52,2,67,69,134,188,4,190,4,2
53,2,71,73,138,184,4,186,8,2
54,2,73,75,148,180,4,180,0,2
55,2,79,81,146,176,4,178,16,2
56,2,83,85,166,172,4,174,4,2
57,2,89,91,164,164,4,164,0,2
58,2,97,99,132,156,4,156,0,2
59,2,101,103,136,152,4,152,0,2
60,2,103,105,138,152,4,154,8,2
61,2,107,109,150,148,4,150,4,2
62,2,109,111,144,144,4,144,0,2
63,2,113,115,132,140,4,140,0,2
64,2,121,123,132,132,4,132,0,2
65,2,127,129,130,128,4,130,128,2
66,3,1,4,4,252,4,253,4,3
67,3,2,5,4,253,6,254,4,3
68,3,3,6,6,252,6,255,6,3
69,3,5,8,8,248,4,249,8,3
