,default,edc,adc1,adc2,adc3,adc4,adc5,adc6
0,1,1,0,1,0,0,0,0
1,1,1,0,1,1,0,0,0
2,1,1,1,1,0,1,0,1
3,1,1,1,1,1,1,1,1
4,1,1,1,1,0,0,0,0
5,1,1,1,1,1,0,0,0
6,1,1,1,1,0,1,0,1
7,1,1,1,1,1,1,1,1
8,1,1,1,1,0,0,0,0
9,1,1,1,1,1,0,0,0
10,1,1,1,1,0,1,0,1
11,1,1,1,1,1,1,1,1
12,1,1,1,1,0,0,0,0
13,1,1,1,1,1,0,0,0
14,1,1,1,1,0,1,0,1
15,1,1,1,1,1,1,1,1
16,0,0,0,1,0,0,0,0
17,1,1,0,1,1,0,0,0
18,1,1,1,1,0,0,0,1
19,1,1,1,1,1,1,1,1
20,1,1,1,1,0,0,0,0
21,1,1,1,1,1,0,0,0
22,1,1,1,1,0,1,0,1
23,1,1,1,1,1,1,1,1
24,1,1,1,1,0,0,0,0
25,1,1,1,1,1,0,0,0
26,1,1,1,1,0,1,0,1
27,1,1,1,1,1,1,1,1
28,1,1,1,1,0,0,0,0
29,1,1,1,1,1,0,0,0
30,1,1,1,1,0,1,0,1
31,1,1,1,1,1,1,1,1
32,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0
34,1,1,0,1,0,1,0,1
35,1,1,0,1,1,1,1,1
36,1,1,1,1,0,0,0,0
37,1,1,1,1,1,0,0,0
38,1,1,1,1,0,1,0,1
39,1,1,1,1,1,1,1,1
40,1,1,1,1,0,0,0,0
41,1,1,1,1,1,0,0,0
42,1,1,1,1,0,1,0,1
43,1,1,1,1,1,1,1,1
44,1,1,1,1,0,0,0,0
45,1,1,1,1,1,0,0,0
46,1,1,1,1,0,1,0,1
47,1,1,1,1,1,1,1,1
48,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0
50,0,0,0,1,0,0,0,1
51,1,1,0,1,1,1,1,1
52,1,1,1,1,0,0,0,0
53,1,1,1,1,1,0,0,0
54,1,1,1,1,0,1,0,1
55,1,1,1,1,1,1,1,1
56,1,1,1,1,0,0,0,0
57,1,1,1,1,1,0,0,0
58,1,1,1,1,0,1,0,1
59,1,1,1,1,1,1,1,1
60,1,1,1,1,0,0,0,0
61,1,1,1,1,1,0,0,0
62,1,1,1,1,0,1,0,1
63,1,1,1,1,1,1,1,1
64,0,0,0,0,0,0,0,0
65,0,0,0,0,0,0,0,0
66,0,0,0,0,0,0,0,0
67,0,0,0,0,0,0,0,0
68,1,1,0,1,0,0,0,0
69,1,1,0,1,1,0,0,0
70,1,1,1,1,0,1,0,1
71,1,1,1,1,1,1,1,1
72,1,1,1,1,0,0,0,0
73,1,1,1,1,1,0,0,0
74,1,1,1,1,0,1,0,1
75,1,1,1,1,1,1,1,1
76,1,1,1,1,0,0,0,0
77,1,1,1,1,1,0,0,0
78,1,1,1,1,0,1,0,1
79,1,1,1,1,1,1,1,1
80,0,0,0,0,0,0,0,0
81,0,0,0,0,0,0,0,0
82,0,0,0,0,0,0,0,0
83,0,0,0,0,0,0,0,0
84,0,0,0,1,0,0,0,0
85,1,1,0,1,1,0,0,0
