,a,b,exact,sma,ama1,ama2,axa2,axa3
0,1,1,2,2,62,2,63,2
1,1,2,3,4,61,2,60,0
2,1,3,4,4,60,2,61,4
3,1,5,6,10,58,2,59,2
4,1,7,8,8,56,2,57,8
5,1,11,12,20,52,2,53,4
6,1,13,14,18,50,2,51,2
7,1,17,18,34,46,2,47,2
8,1,19,20,36,44,2,45,4
9,1,23,24,40,40,2,41,8
10,1,29,30,34,34,2,35,2
11,1,31,32,32,32,2,33,32
12,1,37,38,10,26,2,27,2
13,1,41,42,18,22,2,23,2
14,1,43,44,20,20,2,21,4
15,1,47,48,16,16,2,17,16
16,1,53,54,10,10,2,11,2
17,1,59,60,4,4,2,5,4
18,1,61,62,2,2,2,3,2
19,2,1,3,4,60,4,60,0
20,2,2,4,4,61,4,63,4
21,2,3,5,6,60,4,62,4
22,2,5,7,8,56,4,56,0
23,2,7,9,10,56,4,58,8
24,2,11,13,22,52,4,54,4
25,2,13,15,16,48,4,48,0
26,2,17,19,36,44,4,44,0
27,2,19,21,38,44,4,46,4
28,2,23,25,42,40,4,42,8
29,2,29,31,32,32,4,32,0
30,2,31,33,34,32,4,34,32
31,2,37,39,8,24,4,24,0
32,2,41,43,20,20,4,20,0
33,2,43,45,22,20,4,22,4
34,2,47,49,18,16,4,18,16
35,2,53,55,8,8,4,8,0
36,2,59,61,6,4,4,6,4
37,2,61,63,0,0,4,0,0
38,3,1,4,4,60,4,61,4
39,3,2,5,4,61,6,62,4
40,3,3,6,6,60,6,63,6
41,3,5,8,8,56,4,57,8
42,3,7,10,10,56,6,59,10
43,3,11,14,22,52,6,55,6
44,3,13,16,16,48,4,49,16
45,3,17,20,36,44,4,45,4
46,3,19,22,38,44,6,47,6
47,3,23,26,42,40,6,43,10
48,3,29,32,32,32,4,33,32
49,3,31,34,34,32,6,35,34
50,3,37,40,8,24,4,25,8
51,3,41,44,20,20,4,21,4
52,3,43,46,22,20,6,23,6
53,3,47,50,18,16,6,19,18
54,3,53,56,8,8,4,9,8
55,3,59,62,6,4,6,7,6
56,3,61,64,0,0,4,1,0
57,5,1,6,2,62,10,59,2
58,5,2,7,8,57,10,56,0
59,5,3,8,8,56,10,57,8
60,5,5,10,10,58,10,63,10
61,5,7,12,12,56,10,61,12
62,5,11,16,16,48,10,49,16
63,5,13,18,18,50,10,55,18
64,5,17,22,34,46,10,43,2
65,5,19,24,40,40,10,41,8
66,5,23,28,44,40,10,45,12
67,5,29,34,34,34,10,39,34
68,5,31,36,36,32,10,37,36
69,5,37,42,10,26,10,31,10
70,5,41,46,18,22,10,19,2
71,5,43,48,16,16,10,17,16
72,5,47,52,20,16,10,21,20
73,5,53,58,10,10,10,15,10
74,5,59,64,0,0,10,1,0
75,5,61,66,2,2,10,7,2
76,7,1,8,8,56,8,57,8
77,7,2,9,8,57,10,58,8
78,7,3,10,10,56,10,59,10
79,7,5,12,12,56,12,61,12
80,7,7,14,14,56,14,63,14
81,7,11,18,18,48,10,51,18
82,7,13,20,20,48,12,53,20
83,7,17,24,40,40,8,41,8
84,7,19,26,42,40,10,43,10
85,7,23,30,46,40,14,47,14
86,7,29,36,36,32,12,37,36
87,7,31,38,38,32,14,39,38
88,7,37,44,12,24,12,29,12
89,7,41,48,16,16,8,17,16
90,7,43,50,18,16,10,19,18
91,7,47,54,22,16,14,23,22
92,7,53,60,12,8,12,13,12
93,7,59,66,2,0,10,3,2
94,7,61,68,4,0,12,5,4
95,11,1,12,4,60,20,53,4
96,11,2,13,4,61,22,54,4
97,11,3,14,6,60,22,55,6
98,11,5,16,16,48,20,49,16
99,11,7,18,18,48,22,51,18
100,11,11,22,22,52,22,63,22
101,11,13,24,24,48,20,57,24
102,11,17,28,36,44,20,37,4
103,11,19,30,38,44,22,39,6
104,11,23,34,34,32,22,35,34
105,11,29,40,40,32,20,41,40
106,11,31,42,42,32,22,43,42
107,11,37,48,16,16,20,17,16
108,11,41,52,20,20,20,29,20
109,11,43,54,22,20,22,31,22
110,11,47,58,26,16,22,27,26
111,11,53,64,0,0,20,1,0
112,11,59,70,6,4,22,15,6
113,11,61,72,8,0,20,9,8
114,13,1,14,2,62,18,51,2
115,13,2,15,16,49,18,48,0
116,13,3,16,16,48,18,49,16
117,13,5,18,18,50,18,55,18
118,13,7,20,20,48,18,53,20
119,13,11,24,24,48,26,57,24
120,13,13,26,26,50,26,63,26
121,13,17,30,34,46,18,35,2
122,13,19,32,32,32,18,33,32
123,13,23,36,36,32,18,37,36
124,13,29,42,42,34,26,47,42
125,13,31,44,44,32,26,45,44
126,13,37,50,18,18,18,23,18
127,13,41,54,18,22,26,27,18
128,13,43,56,24,16,26,25,24
129,13,47,60,28,16,26,29,28
130,13,53,66,2,2,18,7,2
131,13,59,72,8,0,26,9,8
132,13,61,74,10,2,26,15,10
133,17,1,18,2,62,34,47,2
134,17,2,19,4,61,34,44,0
135,17,3,20,4,60,34,45,4
136,17,5,22,10,58,34,43,2
137,17,7,24,8,56,34,41,8
138,17,11,28,36,36,34,37,4
139,17,13,30,34,34,34,35,2
140,17,17,34,34,46,34,63,34
141,17,19,36,36,44,34,61,36
142,17,23,40,40,40,34,57,40
143,17,29,46,50,34,34,51,34
144,17,31,48,48,32,34,49,48
145,17,37,54,10,26,34,11,2
146,17,41,58,2,6,34,7,2
147,17,43,60,4,4,34,5,4
148,17,47,64,0,0,34,1,0
149,17,53,70,10,10,34,27,2
150,17,59,76,20,4,34,21,4
151,17,61,78,18,2,34,19,2
152,19,1,20,4,60,36,45,4
153,19,2,21,4,61,38,46,4
154,19,3,22,6,60,38,47,6
155,19,5,24,8,56,36,41,8
156,19,7,26,10,56,38,43,10
157,19,11,30,38,36,38,39,6
158,19,13,32,32,32,36,33,32
159,19,17,36,36,44,36,61,36
160,19,19,38,38,44,38,63,38
161,19,23,42,42,40,38,59,42
162,19,29,48,48,32,36,49,48
163,19,31,50,50,32,38,51,50
164,19,37,56,8,24,36,9,8
165,19,41,60,4,4,36,5,4
166,19,43,62,6,4,38,7,6
167,19,47,66,2,0,38,3,2
168,19,53,72,8,8,36,25,8
169,19,59,78,22,4,38,23,6
170,19,61,80,16,0,36,17,16
171,23,1,24,8,56,40,41,8
172,23,2,25,8,57,42,42,8
173,23,3,26,10,56,42,43,10
174,23,5,28,12,56,44,45,12
175,23,7,30,14,56,46,47,14
176,23,11,34,34,32,42,35,34
177,23,13,36,36,32,44,37,36
178,23,17,40,40,40,40,57,40
179,23,19,42,42,40,42,59,42
180,23,23,46,46,40,46,63,46
181,23,29,52,52,32,44,53,52
182,23,31,54,54,32,46,55,54
183,23,37,60,12,24,44,13,12
184,23,41,64,0,0,40,1,0
185,23,43,66,2,0,42,3,2
186,23,47,70,6,0,46,7,6
187,23,53,76,12,8,44,29,12
188,23,59,82,18,0,42,19,18
189,23,61,84,20,0,44,21,20
190,29,1,30,2,62,34,35,2
191,29,2,31,32,33,34,32,0
192,29,3,32,32,32,34,33,32
193,29,5,34,34,34,34,39,34
194,29,7,36,36,32,34,37,36
195,29,11,40,40,32,42,41,40
196,29,13,42,42,34,42,47,42
197,29,17,46,34,46,50,51,34
198,29,19,48,48,32,50,49,48
199,29,23,52,52,32,50,53,52
200,29,29,58,58,34,58,63,58
201,29,31,60,60,32,58,61,60
202,29,37,66,2,2,34,7,2
203,29,41,70,2,6,42,11,2
204,29,43,72,8,0,42,9,8
205,29,47,76,12,0,42,13,12
206,29,53,82,18,2,50,23,18
207,29,59,88,24,0,58,25,24
208,29,61,90,26,2,58,31,26
209,31,1,32,32,32,32,33,32
210,31,2,33,32,33,34,34,32
211,31,3,34,34,32,34,35,34
212,31,5,36,36,32,36,37,36
213,31,7,38,38,32,38,39,38
214,31,11,42,42,32,42,43,42
215,31,13,44,44,32,44,45,44
